uid,mandal,district,vci
TSSD0539,Venkatapuram,Mulugu,61.15120931148223
TSSD0540,Vikarabad,Vikarabad,41.87567391343335
TSSD0541,Waddepally,Jogulamba Gadwal,50.74874104253793
TSSD0542,Wanaparthy,Wanaparthy,38.53433208673512
TSSD0543,Wankidi,Kumurambheem Asifabad,47.091705076471705
TSSD0544,Warangal,Warangal_Urban,52.10548962282042
TSSD0545,Wardhannapet,Warangal_Rural,43.05402878590201
TSSD0546,Wargal,Siddipet,43.94943700775736
TSSD0547,Weepangandla,Wanaparthy,48.771938102696794
TSSD0548,Wyra,Khammam,40.37360331462587
TSSD0549,Yacharam,Rangareddy,45.71681128135514
TSSD0550,Yadagirigutta,Yadadri Bhuvanagiri,39.80415390864077
TSSD0551,Yedapally,Nizamabad,42.370580005520374
TSSD0552,Yelal,Vikarabad,44.93404025232216
TSSD0553,Yeldurthy,Medak,38.73313223769159
TSSD0554,Yellandu,Bhadradri Kothagudem,44.71085426539409
TSSD0555,Yellareddy,Kamareddy,44.43694216698872
TSSD0556,Yellareddypet,Rajanna Sircilla,46.86801962155715
TSSD0557,Yergatla,Nizamabad,59.55468542411591
TSSD0558,Yerrupalem,Khammam,52.77600579852292
TSSD0559,Zaffergadh,Jangoan,43.87109685989402
TSSD0560,Zahirabad,Sangareddy,42.03536384999466
TSSD0561,Lingal,Nagarkurnool,49.15298170624295
TSSD0562,Nagar_Kurnool,Nagarkurnool,39.61094631650737
TSSD0563,Mahabubnagar_Rural,Mahabubnagar,38.33214927372581
TSSD0564,Utkoor,Narayanpet,45.85462343103283
TSSD0565,Saroornagar,Rangareddy,48.44833935513684
TSSD0566,Ameenpur,Sangareddy,38.04772720480262
TSSD0567,Jinnaram,Sangareddy,43.65554933322701
TSSD0568,Toopran,Medak,36.00430888184634
TSSD0569,Manoharabad,Medak,38.07659093141651
TSSD0570,Doultabad,Siddipet,35.791593032840716
TSSD0571,Chilipched,Medak,39.94743662547339
TSSD0572,Shankarampet_R,Medak,38.99434536000213
TSSD0573,Chegunta,Medak,36.12237777342588
TSSD0574,Domakonda,Kamareddy,36.26625069557653
TSSD0575,Pitlam,Kamareddy,41.642059963655264
TSSD0576,Bichkunda,Kamareddy,42.40168073820727
TSSD0577,Birkoor,Kamareddy,46.50099133924686
TSSD0578,Mavala,Adilabad,50.91657001814623
TSSD0579,Anthergaon,Peddapalli,46.087802921283476
TSSD0580,Wazeed,Mulugu,53.55517554296822
TSSD0581,Kammarpally,Nizamabad,50.375637876626435
TSSD0582,Kodakandla,Jangoan,45.25897877080092
TSSD0583,Krishna,Narayanpet,49.34810987706907
TSSD0584,Kotapalle,Mancherial,50.08315470719393
TSSD0585,Nadikuda,Warangal_Rural,49.54817980407708
TSSD0586,Muduchinthalaphally,Medchal_Malkajgiri,38.88479496781391
TSSD0587,Narayanraopet,Siddipet,45.62145596230681
TSSD0588,Mosra,Nizamabad,43.87992542123623
TSSD0589,Chandur,Nizamabad,42.854480045363346
TSSD0590,Chowtakur,Sangareddy,40.76774349552753
TSSD0591,Masaipet,Medak,34.05806693648706
TSSD0592,Dhoolumitta,Siddipet,45.3787001381731
